"Болеро","<strong>Материал:</strong> 100% хлопок<br /><!--more--><br /><strong>Описание:</strong><br />Болеро. Короткие рукава - отличное дополнение к кофточкам, топам и платьям. Длина в зависимости от размера от ок. 27 до 31 см.","899","http://www.quelle.ru/Women_fashion/Women_sweaters/Woman_Cardigans_and_Bolero/Bolero__m246355.html","17675687375_mmdb.jpg"
"Пуловер","<strong>Материал:</strong> 100% полиакрил<br /><!--more--><br /><strong>Описание:</strong><br />Пуловер. Накладные карманы, V-образный вырез. Спереди и сзади удлиненный в центре покрой. Длина ок. 78 см.","1399","http://www.quelle.ru/Women_fashion/Women_sweaters/Women_sweaters/Pulover__m246450.html","75025406882_mmdb.jpg"
"Кардиган","<strong>Материал:</strong> 70% вискоза, 30% полиамид<br /><!--more--><br /><strong>Описание:</strong><br />Кардиган. Женственный стиль. Тонкая вязка. Элегантный вырез с аппликацией в виде роз из шифона. Благородные пуговицы со сверкающими стразами. Длина в зависимости от размера от ок. 64 до ок. 66 см.","2399","http://www.quelle.ru/Women_fashion/Women_sweaters/Woman_Cardigans_and_Bolero/Kardigan__m246409.html","27865406741_mmdb.jpg"
"Кардиган","<strong>Материал:</strong> с начесом изнутри, 80% хлопок, 20% полиэстер<br /><!--more--><br /><strong>Описание:</strong><br />Кардиган JOE BROWNS. Оригинальный покрой, удлиненный спереди. Двухсторонняя металлическая молния. Длина спереди от ок. 80 до 92 см, длина спинки от ок. 66 до 76 см.","2499","http://www.quelle.ru/Women_fashion/Women_sweaters/Woman_Cardigans_and_Bolero/Kardigan__m246114.html","64135407189_mmdb.jpg"
"Трикотажный кардиган","<strong>Материал:</strong> 50% хлопок, 50% полиакрил<br /><!--more--><br /><strong>Описание:</strong><br />Трикотажный кардиган. В полоску. 2-сторонняя застежка-молния, карман-кенгуру и вышивка спереди. Однотонный капюшон. Длина в зависимости от размера от ок. 70 до ок. 78 см.","2299","http://www.quelle.ru/Women_fashion/Women_sweaters/Woman_Cardigans_and_Bolero/Trikotazhnyj-kardigan__m246358.html","26715406852_mmdb.jpg"
"Кардиган","<strong>Материал:</strong> 100% полиакрил<br /><!--more--><br /><strong>Описание:</strong><br />Кардиган. В актуальном стиле этно, эффектный жаккардовый рисунок, модная отделка бахромой по нижнему краю. Свободный покрой, без застежки. Длина спинки в зависимости от размера от ок. 66 до 76 см.","2499","http://www.quelle.ru/Women_fashion/Women_sweaters/Woman_Cardigans_and_Bolero/Kardigan__m246331.html","73495393647_mmdb.jpg"
"Толстовка","<strong>Материал:</strong> 80% хлопок, 20% полиэстер<br /><!--more--><br /><strong>Описание:</strong><br />Толстовка. Стильный принт и аппликация. Двухсторонняя молния, карманы-кенгуру. Длина в зависимости от размера от ок. 66 до 76 см.","1999","http://www.quelle.ru/Women_fashion/Women_sweaters/Women_Hoody/Tolstovka__m246372.html","43855393871_mmdb.jpg"
"Водолазка","<strong>Материал:</strong> 100% хлопок<br /><!--more--><br /><strong>Описание:</strong><br />Водолазка. Идеально для комбинирования! Эластичный материал. Воротник-гольф, длинные рукава. Длина в зависимости от размера от ок. 66 до ок. 76 см.","1199","http://www.quelle.ru/Women_fashion/Women_sweaters/Women_sweaters/Vodolazka__m246347.html","23165394391_mmdb.jpg"
"Кофточка","<strong>Материал:</strong> 100% хлопок<br /><!--more--><br /><strong>Описание:</strong><br />Кофточка с капюшоном JOE BROWNS. Эффектные детали: вышивка, аппликацией, контрастный карман-кенгуру. Длина в зависимости от размера от ок. 66 до 76 см.","2899","http://www.quelle.ru/Women_fashion/Women_sweaters/Women_sweaters/Koftochka__m246195.html","89555393952_mmdb.jpg"
"Толстовка","<strong>Материал:</strong> 100% хлопок<br /><!--more--><br /><strong>Описание:</strong><br />Толстовка. С кружевным принтом. Воротник-стойка и на кулиске. Застежка-молния спереди, 2 косых кармана, эластичная резинка в рубчик по краям. Длина в зависимости от размера от ок. 66 до ок. 76 см.","1699","http://www.quelle.ru/Women_fashion/Women_sweaters/Women_Hoody/Tolstovka__m246292.html","66075406795_mmdb.jpg"
